Day,Meal,Time,Holiday,NumberOfPeople,TimeTakenToFinish
Monday,Breakfast,08:00:00,No,50,30
Monday,Lunch,12:30:00,No,75,45
Monday,Tea,17:00:00,No,40,20
Monday,Dinner,20:00:00,No,60,35
Tuesday,Breakfast,08:15:00,No,45,22
Tuesday,Lunch,13:00:00,No,80,50
Tuesday,Tea,16:30:00,No,35,18
Tuesday,Dinner,19:45:00,No,55,30
Wednesday,Breakfast,08:10:00,No,55,28
Wednesday,Lunch,12:45:00,No,70,42
Wednesday,Tea,16:15:00,No,50,25
Wednesday,Dinner,20:10:00,No,65,38
Thursday,Breakfast,08:05:00,No,60,30
Thursday,Lunch,12:35:00,No,75,48
Thursday,Tea,16:20:00,No,45,22
Thursday,Dinner,19:55:00,No,70,40
Friday,Breakfast,08:20:00,No,40,18
Friday,Lunch,12:55:00,No,85,52
Friday,Tea,16:10:00,No,30,15
Friday,Dinner,20:15:00,No,75,45
Saturday,Breakfast,09:00:00,Yes,80,35
Saturday,Lunch,13:30:00,Yes,70,40
Saturday,Tea,16:45:00,Yes,50,23
Saturday,Dinner,19:30:00,Yes,125,45
Sunday,Breakfast,09:30:00,Yes,90,40
Sunday,Lunch,14:00:00,Yes,95,50
Sunday,Tea,17:00:00,Yes,50,15
Sunday,Dinner,20:30:00,Yes,130,48
Monday,Breakfast,08:00:00,No,48,23
Monday,Lunch,12:30:00,No,72,35
Monday,Tea,17:00:00,No,42,21
Monday,Dinner,20:00:00,No,58,40
Tuesday,Breakfast,08:15:00,No,47,23
Tuesday,Lunch,13:00:00,No,78,49
Tuesday,Tea,16:30:00,No,38,19
Tuesday,Dinner,19:45:00,No,53,29
Wednesday,Breakfast,08:10:00,No,54,20
Wednesday,Lunch,12:45:00,No,68,41
Wednesday,Tea,16:15:00,No,48,15
Wednesday,Dinner,20:10:00,No,63,55
Thursday,Breakfast,08:05:00,No,59,25
Thursday,Lunch,12:35:00,No,74,47
Thursday,Tea,16:20:00,No,43,17
Thursday,Dinner,19:55:00,No,69,45
Friday,Breakfast,08:20:00,No,39,17
Friday,Lunch,12:55:00,No,83,51
Friday,Tea,16:10:00,No,31,14
Friday,Dinner,20:15:00,No,73,44
Saturday,Breakfast,09:00:00,Yes,100,30
Saturday,Lunch,13:30:00,Yes,95,45
Saturday,Tea,16:45:00,Yes,60,22
Saturday,Dinner,19:30:00,Yes,110,55
Sunday,Breakfast,09:30:00,Yes,90,35
Sunday,Lunch,14:00:00,Yes,120,50
Sunday,Tea,17:00:00,Yes,60,20
Sunday,Dinner,20:30:00,Yes,110,35
